,Sequence_1,Sequence_10,Sequence_100,Sequence_103,Sequence_11,Sequence_12,Sequence_13,Sequence_14,Sequence_15,Sequence_16,Sequence_18,Sequence_19,Sequence_2,Sequence_20,Sequence_21,Sequence_25,Sequence_26,Sequence_27,Sequence_28,Sequence_29,Sequence_3,Sequence_31,Sequence_32,Sequence_35,Sequence_38,Sequence_4,Sequence_42,Sequence_43,Sequence_44,Sequence_46,Sequence_47,Sequence_48,Sequence_49,Sequence_5,Sequence_50,Sequence_51,Sequence_52,Sequence_53,Sequence_54,Sequence_55,Sequence_57,Sequence_58,Sequence_59,Sequence_6,Sequence_60,Sequence_61,Sequence_62,Sequence_63,Sequence_64,Sequence_65,Sequence_66,Sequence_68,Sequence_69,Sequence_7,Sequence_70,Sequence_71,Sequence_73,Sequence_74,Sequence_76,Sequence_77,Sequence_78,Sequence_79,Sequence_8,Sequence_81,Sequence_82,Sequence_83,Sequence_84,Sequence_85,Sequence_86,Sequence_87,Sequence_88,Sequence_9,Sequence_90,Sequence_92,Sequence_93,Sequence_95,Sequence_96,Sequence_97,Sequence_98,Sequence_99
Sequence_49,32.876712,35.616438,36.231884,26.470588,40.625,37.704918,38.356164,48.4375,38.028169,46.268657,37.704918,40.983607,39.705882,36.619718,47.887324,32.352941,36.764706,44.262295,40.909091,27.941176,40.909091,35.294118,35.294118,30.136986,21.73913,37.5,38.356164,32.394366,37.5,23.880597,29.411765,59.701493,100.0,34.246575,41.09589,35.616438,43.835616,34.246575,32.786885,28.787879,20.289855,40.84507,26.470588,34.42623,32.876712,46.376812,50.684932,32.835821,29.850746,28.358209,26.027397,30.136986,41.09589,42.1875,40.983607,27.941176,52.173913,34.246575,40.909091,47.826087,30.136986,39.726027,25.352113,36.065574,30.136986,43.835616,32.8125,47.619048,34.848485,28.985507,37.5,54.285714,27.941176,46.376812,40.909091,25.0,39.726027,34.246575,27.941176,33.333333
Sequence_5,42.465753,27.39726,36.231884,27.941176,31.25,32.786885,54.794521,34.375,35.211268,34.328358,32.786885,32.786885,38.235294,32.394366,39.43662,45.588235,39.705882,32.786885,39.393939,32.352941,39.393939,41.176471,36.764706,26.027397,28.985507,29.6875,21.917808,49.295775,26.388889,29.850746,33.823529,29.850746,34.246575,100.0,39.726027,26.027397,42.465753,27.39726,29.508197,27.272727,28.985507,33.802817,26.470588,39.344262,46.575342,37.681159,38.356164,44.776119,43.283582,46.268657,32.876712,23.287671,46.575342,28.125,34.42623,26.470588,39.130435,31.506849,39.393939,34.782609,69.863014,43.835616,35.211268,31.147541,28.767123,38.356164,26.5625,31.746032,33.333333,39.130435,25.0,35.714286,26.470588,36.231884,34.848485,27.941176,42.465753,31.506849,26.470588,34.782609
Sequence_50,44.0,32.0,47.826087,27.941176,37.5,36.065574,40.0,37.5,53.521127,37.313433,36.065574,36.065574,42.647059,40.84507,38.028169,38.235294,42.647059,34.42623,37.878788,30.882353,37.878788,41.176471,42.647059,44.0,23.188406,42.1875,28.0,49.295775,31.944444,31.343284,42.647059,31.343284,41.09589,39.726027,100.0,38.666667,41.09589,32.0,32.786885,28.787879,21.73913,29.577465,26.470588,44.262295,38.666667,30.434783,32.0,32.835821,32.835821,29.850746,28.0,26.666667,41.891892,34.375,36.065574,25.0,34.782609,32.0,37.878788,30.434783,34.246575,55.405405,23.943662,34.42623,25.675676,45.205479,34.375,30.15873,30.30303,34.782609,35.9375,35.714286,25.0,33.333333,33.333333,25.0,41.09589,32.0,25.0,46.376812
Sequence_51,31.578947,21.052632,28.985507,22.058824,39.0625,26.229508,30.263158,34.375,30.985915,31.343284,26.229508,26.229508,27.941176,32.394366,29.577465,25.0,33.823529,24.590164,30.30303,20.588235,30.30303,23.529412,27.941176,25.0,18.84058,35.9375,32.894737,32.394366,36.111111,22.38806,29.411765,29.850746,35.616438,26.027397,38.666667,100.0,31.506849,26.315789,26.229508,21.212121,18.84058,19.71831,23.529412,26.229508,27.631579,28.985507,32.894737,25.373134,23.880597,19.402985,25.0,25.0,33.783784,39.0625,27.868852,17.647059,30.434783,36.0,31.818182,28.985507,24.657534,43.243243,15.492958,26.229508,25.675676,28.767123,31.25,28.571429,28.787879,30.434783,34.375,38.571429,17.647059,28.985507,30.30303,17.647059,27.39726,36.0,17.647059,30.434783
Sequence_52,50.684932,27.39726,30.434783,20.588235,20.3125,29.508197,41.09589,26.5625,46.478873,28.358209,29.508197,31.147541,29.411765,26.760563,36.619718,35.294118,26.470588,31.147541,28.787879,23.529412,28.787879,26.470588,29.411765,39.726027,20.289855,23.4375,27.39726,56.338028,26.388889,22.38806,26.470588,29.850746,43.835616,42.465753,41.09589,31.506849,100.0,32.876712,29.508197,28.787879,18.84058,26.760563,23.529412,36.065574,39.726027,24.637681,30.136986,41.791045,40.298507,29.850746,24.657534,24.657534,47.945205,21.875,34.42623,22.058824,26.086957,32.876712,27.272727,26.086957,41.09589,41.09589,18.309859,29.508197,27.39726,46.575342,18.75,23.809524,28.787879,36.231884,18.75,31.428571,22.058824,30.434783,21.212121,22.058824,53.424658,32.876712,22.058824,28.985507
Sequence_53,28.947368,67.948718,24.637681,54.411765,43.75,21.311475,31.168831,25.0,28.169014,29.850746,21.311475,21.311475,27.941176,22.535211,28.169014,27.941176,27.941176,21.311475,24.242424,51.470588,24.242424,22.058824,26.470588,53.846154,49.275362,43.75,24.675325,32.394366,45.833333,52.238806,22.058824,28.358209,34.246575,27.39726,32.0,26.315789,32.876712,100.0,18.032787,57.575758,46.376812,25.352113,54.411765,22.95082,27.631579,21.73913,28.571429,25.373134,26.865672,25.373134,54.545455,45.454545,51.351351,43.75,22.95082,47.058824,23.188406,36.0,25.757576,21.73913,26.027397,29.72973,45.070423,16.393443,20.27027,34.246575,40.625,23.809524,22.727273,24.637681,43.75,38.571429,47.058824,21.73913,25.757576,47.058824,24.657534,36.0,47.058824,23.188406
Sequence_54,29.508197,16.393443,31.147541,18.032787,37.704918,73.770492,29.508197,45.901639,34.42623,32.786885,73.770492,75.409836,29.508197,45.901639,45.901639,27.868852,29.508197,77.04918,32.786885,21.311475,32.786885,26.229508,29.508197,24.590164,19.672131,31.147541,27.868852,29.508197,29.508197,24.590164,29.508197,36.065574,32.786885,29.508197,32.786885,26.229508,29.508197,18.032787,100.0,16.393443,19.672131,27.868852,18.032787,70.491803,21.311475,39.344262,36.065574,31.147541,27.868852,22.95082,19.672131,14.754098,21.311475,37.704918,80.327869,14.754098,37.704918,31.147541,34.42623,37.704918,21.311475,40.983607,21.311475,75.409836,36.065574,32.786885,27.868852,32.786885,29.508197,27.868852,31.147541,40.983607,14.754098,36.065574,29.508197,14.754098,34.42623,31.147541,14.754098,31.147541
Sequence_55,24.242424,56.060606,37.878788,69.69697,28.125,18.032787,25.757576,37.5,24.242424,39.393939,18.032787,19.672131,40.909091,21.212121,22.727273,39.393939,40.909091,18.032787,37.878788,66.666667,37.878788,37.878788,39.393939,59.090909,62.121212,26.5625,21.212121,21.212121,25.757576,68.181818,22.727273,36.363636,28.787879,27.272727,28.787879,21.212121,28.787879,57.575758,16.393443,100.0,57.575758,25.757576,68.181818,22.95082,31.818182,27.272727,28.787879,37.878788,37.878788,30.30303,60.606061,51.515152,27.272727,26.5625,18.032787,60.606061,33.333333,24.242424,39.393939,31.818182,27.272727,24.242424,56.060606,16.393443,15.151515,25.757576,25.0,36.507937,31.818182,27.272727,23.4375,30.30303,60.606061,30.30303,40.909091,57.575758,22.727273,24.242424,60.606061,37.878788
Sequence_57,20.289855,47.826087,34.782609,61.764706,28.125,22.95082,28.985507,43.75,18.84058,41.791045,22.95082,21.311475,42.647059,20.289855,21.73913,39.705882,39.705882,24.590164,37.878788,61.764706,37.878788,38.235294,41.176471,52.173913,88.405797,28.125,17.391304,18.84058,24.637681,59.701493,20.588235,34.328358,20.289855,28.985507,21.73913,18.84058,18.84058,46.376812,19.672131,57.575758,100.0,30.434783,58.823529,22.95082,30.434783,30.434783,28.985507,37.313433,35.820896,32.835821,59.42029,53.623188,26.086957,25.0,24.590164,63.235294,36.231884,14.492754,42.424242,33.333333,33.333333,28.985507,62.318841,22.95082,20.289855,27.536232,29.6875,33.333333,31.818182,24.637681,25.0,27.536232,63.235294,30.434783,42.424242,63.235294,21.73913,14.492754,63.235294,34.782609
Sequence_58,29.577465,23.943662,34.782609,29.411765,34.375,34.42623,30.985915,43.75,22.535211,41.791045,34.42623,36.065574,38.235294,28.169014,38.028169,30.882353,32.352941,36.065574,36.363636,32.352941,36.363636,36.764706,39.705882,22.535211,27.536232,34.375,30.985915,30.985915,35.211268,28.358209,30.882353,40.298507,40.84507,33.802817,29.577465,19.71831,26.760563,25.352113,27.868852,25.757576,30.434783,100.0,30.882353,31.147541,28.169014,37.681159,36.619718,37.313433,34.328358,29.850746,28.169014,28.169014,29.577465,34.375,36.065574,32.352941,42.028986,26.760563,45.454545,42.028986,35.211268,26.760563,28.169014,29.508197,23.943662,32.394366,46.875,36.507937,56.060606,21.73913,35.9375,40.0,32.352941,37.681159,36.363636,30.882353,28.169014,26.760563,32.352941,33.333333
Sequence_59,25.0,54.411765,42.647059,83.823529,32.8125,21.311475,27.941176,42.1875,25.0,44.776119,21.311475,21.311475,42.647059,20.588235,22.058824,39.705882,45.588235,21.311475,36.363636,72.058824,36.363636,36.764706,42.647059,58.823529,61.764706,29.6875,20.588235,22.058824,29.411765,79.104478,19.117647,37.313433,26.470588,26.470588,26.470588,23.529412,23.529412,54.411765,18.032787,68.181818,58.823529,30.882353,100.0,27.868852,27.941176,30.882353,30.882353,41.791045,41.791045,29.850746,54.411765,52.941176,27.941176,29.6875,22.95082,64.705882,35.294118,25.0,45.454545,33.823529,27.941176,27.941176,55.882353,24.590164,17.647059,27.941176,26.5625,31.746032,31.818182,25.0,28.125,30.882353,64.705882,29.411765,43.939394,61.764706,25.0,25.0,64.705882,41.176471
Sequence_6,42.622951,19.672131,40.983607,27.868852,34.42623,68.852459,37.704918,40.983607,44.262295,36.065574,68.852459,70.491803,45.901639,44.262295,39.344262,44.262295,45.901639,72.131148,47.540984,27.868852,47.540984,44.262295,44.262295,29.508197,22.95082,32.786885,26.229508,39.344262,26.229508,32.786885,40.983607,36.065574,34.42623,39.344262,44.262295,26.229508,36.065574,22.95082,70.491803,22.95082,22.95082,31.147541,27.868852,100.0,37.704918,37.704918,37.704918,44.262295,44.262295,36.065574,21.311475,21.311475,32.786885,32.786885,68.852459,21.311475,37.704918,45.901639,37.704918,34.42623,34.42623,55.737705,24.590164,62.295082,32.786885,52.459016,22.95082,29.508197,27.868852,39.344262,34.42623,39.344262,21.311475,31.147541,27.868852,21.311475,47.540984,45.901639,21.311475,40.983607
Sequence_60,44.736842,27.631579,39.130435,30.882353,31.25,29.508197,53.947368,37.5,39.43662,32.835821,29.508197,29.508197,41.176471,22.535211,30.985915,52.941176,38.235294,29.508197,42.424242,33.823529,42.424242,36.764706,38.235294,26.315789,30.434783,32.8125,21.052632,47.887324,27.777778,34.328358,26.470588,38.80597,32.876712,46.575342,38.666667,27.631579,39.726027,27.631579,21.311475,31.818182,30.434783,28.169014,27.941176,37.704918,100.0,33.333333,28.947368,49.253731,47.761194,46.268657,25.0,30.263158,45.945946,26.5625,27.868852,29.411765,37.681159,25.333333,34.848485,34.782609,43.835616,44.594595,30.985915,22.95082,16.216216,41.09589,21.875,33.333333,33.333333,36.231884,29.6875,31.428571,29.411765,31.884058,31.818182,29.411765,41.09589,25.333333,29.411765,37.681159
Sequence_61,30.434783,21.73913,42.028986,29.411765,37.5,39.344262,37.681159,53.125,28.985507,47.761194,39.344262,40.983607,48.529412,34.782609,46.376812,41.176471,47.058824,45.901639,46.969697,27.941176,46.969697,45.588235,45.588235,20.289855,30.434783,35.9375,28.985507,28.985507,36.231884,28.358209,30.882353,58.208955,46.376812,37.681159,30.434783,28.985507,24.637681,21.73913,39.344262,27.272727,30.434783,37.681159,30.882353,37.704918,33.333333,100.0,46.376812,41.791045,38.80597,40.298507,28.985507,31.884058,33.333333,42.1875,44.262295,30.882353,73.913043,28.985507,48.484848,71.014493,33.333333,37.681159,37.681159,44.262295,24.637681,33.333333,31.25,47.619048,42.424242,27.536232,35.9375,42.028986,30.882353,66.666667,45.454545,29.411765,30.434783,28.985507,30.882353,39.130435
Sequence_62,34.210526,33.766234,42.028986,30.882353,45.3125,39.344262,38.961039,51.5625,33.802817,50.746269,39.344262,42.622951,48.529412,35.211268,43.661972,38.235294,39.705882,44.262295,39.393939,33.823529,39.393939,41.176471,44.117647,27.272727,31.884058,43.75,37.662338,26.760563,44.444444,31.343284,30.882353,52.238806,50.684932,38.356164,32.0,32.894737,30.136986,28.571429,36.065574,28.787879,28.985507,36.619718,30.882353,37.704918,28.947368,46.376812,100.0,40.298507,37.313433,28.358209,35.064935,33.766234,35.135135,46.875,44.262295,32.352941,50.724638,40.0,56.060606,47.826087,34.246575,39.189189,30.985915,36.065574,33.783784,35.616438,37.5,42.857143,37.878788,26.086957,42.1875,45.714286,32.352941,47.826087,51.515152,30.882353,34.246575,40.0,32.352941,39.130435
Sequence_63,44.776119,28.358209,50.746269,44.776119,32.8125,37.704918,50.746269,51.5625,38.80597,50.746269,37.704918,36.065574,50.746269,31.343284,31.343284,80.597015,47.761194,36.065574,46.969697,41.791045,46.969697,47.761194,50.746269,28.358209,38.80597,28.125,22.38806,40.298507,29.850746,37.313433,31.343284,47.761194,32.835821,44.776119,32.835821,25.373134,41.791045,25.373134,31.147541,37.878788,37.313433,37.313433,41.791045,44.262295,49.253731,41.791045,40.298507,100.0,95.522388,50.746269,29.850746,35.820896,43.283582,29.6875,37.704918,46.268657,50.746269,31.343284,45.454545,47.761194,41.791045,40.298507,40.298507,32.786885,25.373134,47.761194,25.0,39.68254,39.393939,40.298507,26.5625,37.313433,46.268657,46.268657,43.939394,44.776119,44.776119,31.343284,46.268657,49.253731
Sequence_64,44.776119,28.358209,52.238806,43.283582,29.6875,34.42623,52.238806,48.4375,38.80597,46.268657,34.42623,32.786885,49.253731,26.865672,26.865672,79.104478,46.268657,32.786885,45.454545,40.298507,45.454545,46.268657,49.253731,28.358209,37.313433,28.125,19.402985,40.298507,28.358209,37.313433,32.835821,44.776119,29.850746,43.283582,32.835821,23.880597,40.298507,26.865672,27.868852,37.878788,35.820896,34.328358,41.791045,44.262295,47.761194,38.80597,37.313433,95.522388,100.0,50.746269,29.850746,35.820896,43.283582,26.5625,34.42623,44.776119,47.761194,31.343284,45.454545,44.776119,43.283582,40.298507,38.80597,29.508197,22.38806,47.761194,21.875,34.920635,36.363636,40.298507,26.5625,34.328358,44.776119,43.283582,39.393939,43.283582,44.776119,31.343284,44.776119,47.761194
Sequence_65,41.791045,23.880597,41.791045,34.328358,29.6875,27.868852,43.283582,40.625,31.343284,37.313433,27.868852,27.868852,46.268657,25.373134,23.880597,58.208955,46.268657,29.508197,54.545455,34.328358,54.545455,46.268657,46.268657,19.402985,31.343284,29.6875,17.910448,38.80597,20.895522,37.313433,28.358209,37.313433,28.358209,46.268657,29.850746,19.402985,29.850746,25.373134,22.95082,30.30303,32.835821,29.850746,29.850746,36.065574,46.268657,40.298507,28.358209,50.746269,50.746269,100.0,28.358209,32.835821,43.283582,29.6875,27.868852,38.80597,43.283582,31.343284,42.424242,41.791045,43.283582,38.80597,35.820896,22.95082,20.895522,35.820896,23.4375,36.507937,37.878788,40.298507,26.5625,34.328358,38.80597,38.80597,40.909091,38.80597,38.80597,31.343284,38.80597,40.298507
Sequence_66,23.684211,53.246753,34.782609,55.882353,31.25,21.311475,28.571429,29.6875,23.943662,35.820896,21.311475,21.311475,36.764706,30.985915,26.760563,33.823529,29.411765,24.590164,31.818182,60.294118,31.818182,29.411765,33.823529,50.649351,56.521739,31.25,18.181818,21.126761,37.5,56.716418,22.058824,31.343284,26.027397,32.876712,28.0,25.0,24.657534,54.545455,19.672131,60.606061,59.42029,28.169014,54.411765,21.311475,25.0,28.985507,35.064935,29.850746,29.850746,28.358209,100.0,44.155844,29.72973,28.125,22.95082,51.470588,30.434783,28.0,34.848485,26.086957,31.506849,29.72973,53.521127,22.95082,24.324324,34.246575,29.6875,26.984127,28.787879,31.884058,28.125,31.428571,51.470588,26.086957,31.818182,50.0,23.287671,28.0,51.470588,33.333333
Sequence_68,23.684211,46.753247,36.231884,55.882353,25.0,19.672131,28.571429,43.75,28.169014,41.791045,19.672131,19.672131,36.764706,21.126761,28.169014,39.705882,35.294118,19.672131,36.363636,52.941176,36.363636,33.823529,33.823529,42.857143,55.072464,26.5625,24.675325,23.943662,29.166667,52.238806,20.588235,40.298507,30.136986,23.287671,26.666667,25.0,24.657534,45.454545,14.754098,51.515152,53.623188,28.169014,52.941176,21.311475,30.263158,31.884058,33.766234,35.820896,35.820896,32.835821,44.155844,100.0,33.783784,28.125,24.590164,51.470588,36.231884,25.333333,39.393939,33.333333,28.767123,31.081081,52.112676,21.311475,20.27027,31.506849,26.5625,31.746032,37.878788,24.637681,25.0,31.428571,51.470588,30.434783,39.393939,54.411765,26.027397,25.333333,51.470588,36.231884
Sequence_69,50.0,43.243243,33.333333,27.941176,45.3125,27.868852,48.648649,39.0625,40.84507,32.835821,27.868852,21.311475,36.764706,22.535211,29.577465,51.470588,36.764706,24.590164,34.848485,26.470588,34.848485,33.823529,33.823529,28.378378,26.086957,45.3125,28.378378,50.704225,44.444444,28.358209,33.823529,31.343284,41.09589,46.575342,41.891892,33.783784,47.945205,51.351351,21.311475,27.272727,26.086957,29.577465,27.941176,32.786885,45.945946,33.333333,35.135135,43.283582,43.283582,43.283582,29.72973,33.783784,100.0,46.875,27.868852,26.470588,34.782609,48.648649,34.848485,34.782609,41.09589,37.837838,22.535211,26.229508,20.27027,47.945205,42.1875,26.984127,31.818182,47.826087,46.875,40.0,26.470588,31.884058,30.30303,25.0,45.205479,48.648649,26.470588,30.434783
Sequence_7,26.5625,46.875,32.8125,29.6875,81.25,40.983607,29.6875,42.1875,26.5625,43.75,40.983607,39.344262,34.375,34.375,37.5,32.8125,39.0625,37.704918,29.6875,32.8125,29.6875,31.25,34.375,21.875,25.0,75.0,39.0625,25.0,60.9375,31.25,31.25,39.0625,42.1875,28.125,34.375,39.0625,21.875,43.75,37.704918,26.5625,25.0,34.375,29.6875,32.786885,26.5625,42.1875,46.875,29.6875,26.5625,29.6875,28.125,28.125,46.875,100.0,37.704918,26.5625,42.1875,45.3125,43.75,40.625,29.6875,32.8125,20.3125,39.344262,31.25,32.8125,60.9375,34.920635,31.25,32.8125,71.875,45.3125,26.5625,40.625,43.75,25.0,21.875,45.3125,26.5625,31.25
Sequence_70,36.065574,19.672131,32.786885,24.590164,37.704918,77.04918,32.786885,52.459016,37.704918,40.983607,77.04918,80.327869,39.344262,42.622951,44.262295,34.42623,37.704918,78.688525,32.786885,24.590164,32.786885,39.344262,36.065574,29.508197,24.590164,34.42623,36.065574,32.786885,32.786885,27.868852,32.786885,40.983607,40.983607,34.42623,36.065574,27.868852,34.42623,22.95082,80.327869,18.032787,24.590164,36.065574,22.95082,68.852459,27.868852,44.262295,44.262295,37.704918,34.42623,27.868852,22.95082,24.590164,27.868852,37.704918,100.0,19.672131,44.262295,34.42623,42.622951,40.983607,29.508197,40.983607,26.229508,77.04918,37.704918,37.704918,31.147541,37.704918,32.786885,34.42623,36.065574,47.540984,19.672131,40.983607,34.42623,21.311475,39.344262,34.42623,19.672131,31.147541
Sequence_71,25.0,52.941176,41.176471,64.705882,31.25,19.672131,29.411765,48.4375,22.058824,46.268657,19.672131,19.672131,45.588235,19.117647,22.058824,44.117647,41.176471,18.032787,40.909091,66.176471,40.909091,44.117647,45.588235,48.529412,64.705882,26.5625,19.117647,22.058824,23.529412,56.716418,20.588235,43.283582,27.941176,26.470588,25.0,17.647059,22.058824,47.058824,14.754098,60.606061,63.235294,32.352941,64.705882,21.311475,29.411765,30.882353,32.352941,46.268657,44.776119,38.80597,51.470588,51.470588,26.470588,26.5625,19.672131,100.0,39.705882,26.470588,43.939394,35.294118,26.470588,30.882353,57.352941,18.032787,20.588235,29.411765,25.0,46.031746,33.333333,20.588235,25.0,30.882353,98.529412,35.294118,45.454545,92.647059,23.529412,26.470588,100.0,41.176471
Sequence_73,31.884058,23.188406,44.927536,35.294118,40.625,40.983607,37.681159,64.0625,31.884058,55.223881,40.983607,40.983607,51.470588,39.130435,49.275362,51.470588,47.058824,45.901639,54.545455,36.764706,54.545455,48.529412,47.058824,24.637681,39.130435,39.0625,34.782609,30.434783,39.130435,35.820896,32.352941,67.164179,52.173913,39.130435,34.782609,30.434783,26.086957,23.188406,37.704918,33.333333,36.231884,42.028986,35.294118,37.704918,37.681159,73.913043,50.724638,50.746269,47.761194,43.283582,30.434783,36.231884,34.782609,42.1875,44.262295,39.705882,100.0,28.985507,57.575758,89.855072,39.130435,40.57971,46.376812,40.983607,31.884058,36.231884,31.25,52.380952,50.0,33.333333,35.9375,46.376812,39.705882,84.057971,53.030303,38.235294,31.884058,28.985507,39.705882,42.028986
Sequence_74,34.666667,38.666667,34.782609,26.470588,43.75,31.147541,32.0,34.375,33.802817,29.850746,31.147541,32.786885,41.176471,28.169014,32.394366,33.823529,41.176471,36.065574,40.909091,29.411765,40.909091,38.235294,38.235294,18.666667,17.391304,42.1875,29.333333,32.394366,40.277778,23.880597,35.294118,31.343284,34.246575,31.506849,32.0,36.0,32.876712,36.0,31.147541,24.242424,14.492754,26.760563,25.0,45.901639,25.333333,28.985507,40.0,31.343284,31.343284,31.343284,28.0,25.333333,48.648649,45.3125,34.42623,26.470588,28.985507,100.0,28.787879,28.985507,30.136986,43.243243,22.535211,29.508197,33.783784,42.465753,37.5,34.920635,22.727273,31.884058,40.625,35.714286,26.470588,26.086957,28.787879,25.0,35.616438,100.0,26.470588,34.782609
Sequence_76,33.333333,27.272727,53.030303,45.454545,43.75,40.983607,37.878788,59.375,31.818182,69.69697,40.983607,39.344262,59.090909,34.848485,43.939394,51.515152,54.545455,39.344262,50.0,43.939394,50.0,54.545455,56.060606,30.30303,45.454545,50.0,36.363636,28.787879,43.939394,43.939394,36.363636,54.545455,40.909091,39.393939,37.878788,31.818182,27.272727,25.757576,34.42623,39.393939,42.424242,45.454545,45.454545,37.704918,34.848485,48.484848,56.060606,45.454545,45.454545,42.424242,34.848485,39.393939,34.848485,43.75,42.622951,43.939394,57.575758,28.787879,100.0,53.030303,43.939394,40.909091,34.848485,39.344262,30.30303,37.878788,37.5,50.793651,51.515152,33.333333,42.1875,48.484848,43.939394,50.0,81.818182,42.424242,34.848485,28.787879,43.939394,50.0
Sequence_77,30.434783,23.188406,40.57971,32.352941,39.0625,37.704918,37.681159,60.9375,28.985507,50.746269,37.704918,37.704918,47.058824,37.681159,43.478261,47.058824,42.647059,44.262295,50.0,30.882353,50.0,44.117647,42.647059,21.73913,36.231884,37.5,33.333333,28.985507,37.681159,31.343284,27.941176,62.686567,47.826087,34.782609,30.434783,28.985507,26.086957,21.73913,37.704918,31.818182,33.333333,42.028986,33.823529,34.42623,34.782609,71.014493,47.826087,47.761194,44.776119,41.791045,26.086957,33.333333,34.782609,40.625,40.983607,35.294118,89.855072,28.985507,53.030303,100.0,36.231884,37.681159,42.028986,40.983607,28.985507,34.782609,31.25,46.031746,48.484848,30.434783,35.9375,43.478261,35.294118,85.507246,51.515152,32.352941,30.434783,28.985507,35.294118,37.681159
Sequence_78,39.726027,28.767123,39.130435,27.941176,25.0,27.868852,53.424658,37.5,29.577465,35.820896,27.868852,27.868852,38.235294,22.535211,33.802817,45.588235,36.764706,26.229508,39.393939,27.941176,39.393939,39.705882,36.764706,24.657534,30.434783,32.8125,23.287671,42.253521,30.555556,28.358209,32.352941,32.835821,30.136986,69.863014,34.246575,24.657534,41.09589,26.027397,21.311475,27.272727,33.333333,35.211268,27.941176,34.42623,43.835616,33.333333,34.246575,41.791045,43.283582,43.283582,31.506849,28.767123,41.09589,29.6875,29.508197,26.470588,39.130435,30.136986,43.939394,36.231884,100.0,41.09589,32.394366,26.229508,24.657534,31.506849,21.875,30.15873,27.272727,46.376812,29.6875,34.285714,26.470588,36.231884,36.363636,29.411765,41.09589,30.136986,26.470588,36.231884
Sequence_79,39.189189,28.378378,44.927536,29.411765,35.9375,39.344262,45.945946,43.75,40.84507,38.80597,39.344262,39.344262,50.0,35.211268,33.802817,42.647059,48.529412,40.983607,53.030303,33.823529,53.030303,45.588235,48.529412,28.378378,30.434783,35.9375,27.027027,38.028169,27.777778,31.343284,35.294118,41.791045,39.726027,43.835616,55.405405,43.243243,41.09589,29.72973,40.983607,24.242424,28.985507,26.760563,27.941176,55.737705,44.594595,37.681159,39.189189,40.298507,40.298507,38.80597,29.72973,31.081081,37.837838,32.8125,40.983607,30.882353,40.57971,43.243243,40.909091,37.681159,41.09589,100.0,28.169014,36.065574,27.027027,57.534247,28.125,34.920635,31.818182,28.985507,29.6875,42.857143,29.411765,36.231884,36.363636,30.882353,41.09589,43.243243,30.882353,43.478261
Sequence_8,18.309859,46.478873,39.130435,60.294118,25.0,22.95082,29.577465,37.5,21.126761,37.313433,22.95082,22.95082,41.176471,19.71831,23.943662,39.705882,38.235294,21.311475,40.909091,61.764706,40.909091,41.176471,41.176471,47.887324,60.869565,21.875,14.084507,22.535211,23.943662,56.716418,26.470588,38.80597,25.352113,35.211268,23.943662,15.492958,18.309859,45.070423,21.311475,56.060606,62.318841,28.169014,55.882353,24.590164,30.985915,37.681159,30.985915,40.298507,38.80597,35.820896,53.521127,52.112676,22.535211,20.3125,26.229508,57.352941,46.376812,22.535211,34.848485,42.028986,32.394366,28.169014,100.0,22.95082,15.492958,28.169014,20.3125,34.920635,33.333333,20.289855,20.3125,25.714286,57.352941,39.130435,34.848485,57.352941,18.309859,22.535211,57.352941,37.681159
Sequence_81,32.786885,18.032787,29.508197,21.311475,34.42623,70.491803,32.786885,40.983607,32.786885,39.344262,70.491803,68.852459,29.508197,44.262295,49.180328,29.508197,32.786885,72.131148,27.868852,21.311475,27.868852,29.508197,29.508197,26.229508,21.311475,31.147541,29.508197,31.147541,27.868852,26.229508,27.868852,34.42623,36.065574,31.147541,34.42623,26.229508,29.508197,16.393443,75.409836,16.393443,22.95082,29.508197,24.590164,62.295082,22.95082,44.262295,36.065574,32.786885,29.508197,22.95082,22.95082,21.311475,26.229508,39.344262,77.04918,18.032787,40.983607,29.508197,39.344262,40.983607,26.229508,36.065574,22.95082,100.0,37.704918,32.786885,27.868852,32.786885,29.508197,31.147541,29.508197,36.065574,18.032787,39.344262,32.786885,18.032787,36.065574,29.508197,18.032787,27.868852
Sequence_82,25.675676,18.918919,24.637681,16.176471,28.125,37.704918,22.972973,29.6875,32.394366,26.865672,37.704918,36.065574,25.0,32.394366,32.394366,22.058824,22.058824,34.42623,24.242424,16.176471,24.242424,27.941176,22.058824,17.567568,18.84058,25.0,41.891892,22.535211,30.555556,13.432836,39.705882,25.373134,30.136986,28.767123,25.675676,25.675676,27.39726,20.27027,36.065574,15.151515,20.289855,23.943662,17.647059,32.786885,16.216216,24.637681,33.783784,25.373134,22.38806,20.895522,24.324324,20.27027,20.27027,31.25,37.704918,20.588235,31.884058,33.783784,30.30303,28.985507,24.657534,27.027027,15.492958,37.704918,100.0,35.616438,21.875,31.746032,22.727273,34.782609,23.4375,32.857143,20.588235,26.086957,25.757576,20.588235,30.136986,33.783784,20.588235,24.637681
